"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"47073","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"47074","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"47075","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"47076","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"47078","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"47305","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"47693","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"47702","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"47708","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"51018","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51021","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51022","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51039","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51040","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51041","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51066","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51067","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51068","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51069","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51070","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51071","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51072","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51073","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51074","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51075","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51076","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51077","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51087","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"51092","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"53753","All",NA,NA,NA,NA,"Ttru",NA,"Pelagic"
"53946","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"53952","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55189","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55190","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55202","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55203","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55204","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55205","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55249","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55250","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55251","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"55252","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"55253","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"61428","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"61429","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"61430","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"61442","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"61443","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"67596","All",NA,NA,NA,NA,"Ttru",NA,"Pelagic"
"71009","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"71010","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"71011","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"71012","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"71013","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"71019","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"75651","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"75652","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"75653","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"75667","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"78742","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"78743","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"78758","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"78817","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"78818","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"78826","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"78827","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"79982","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"79998","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"88612","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"92252","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"92257","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
"92259","All","MHI","HIArch","Oahu","HIArch","Ttru",NA,"HIArch"
